     a             b       Selected Value
   1.500          2.000         b
   1.500          1.750         a
   1.625          1.750         b
   1.688          1.750         b
   1.688          1.719         a
   1.688          1.703         a
   1.695          1.703         b
   1.695          1.699         a
   1.697          1.699         b
   1.697          1.698         a
   1.697          1.698         a
   1.697          1.698         a
   1.697          1.698         b
   1.697          1.698         b
   1.697          1.697         a
   1.697          1.697         b
   1.697          1.697         b
the root is :   1.69748
